gxyName,alenRank,math_initial_theta,pitch_angle,math_initial_radius,relative_theta_start,relative_theta_end,r_start,r_end,used2rev,failed2rev,hasUndefinedEndpoints,arc_length,num_pixels,err_per_len,err_per_pixel,mean_intensity,brt_ratio_score,anovaF_score,clusOutputColor
subject-21096909,1,9.066938,-27.689655,24.166816,0.000000,2.637848,24.166816,96.474062,0,0,0,155.605809,1960.000000,104.205275,8.272932,0.289464,1.109615,154.290095,[0 0.4 1]
subject-21096909,2,5.009984,-23.986421,20.224114,0.000000,2.960777,20.224114,75.509435,0,0,0,135.996520,2036.000000,174.060389,11.626526,0.340893,1.161186,473.043140,[0.8 0 1]
subject-21096909,3,8.848437,-35.313016,51.061335,0.000000,0.596718,51.061335,77.923767,0,0,0,46.471338,363.000000,24.318443,3.113252,0.264898,1.192856,119.064671,[1 0 0]
subject-21096909,4,8.977760,-32.807889,50.289347,0.000000,0.499123,50.289347,69.376848,0,0,0,35.228236,223.000000,9.482447,1.497982,0.288849,1.222308,153.987611,[0.8 1 0]
subject-21096909,5,7.932176,-19.237403,101.163638,0.000000,0.282477,101.163638,111.643970,0,0,0,31.808409,274.000000,16.824468,1.953137,0.221299,1.098938,72.571705,[0 1 0.4]
