gxyName,alenRank,math_initial_theta,pitch_angle,math_initial_radius,relative_theta_start,relative_theta_end,r_start,r_end,used2rev,failed2rev,hasUndefinedEndpoints,arc_length,num_pixels,err_per_len,err_per_pixel,mean_intensity,brt_ratio_score,anovaF_score,clusOutputColor
subject-21096790,1,3.550416,-12.588527,29.438041,0.000000,2.781134,29.438041,54.781924,0,0,0,116.284173,1361.000000,84.703787,7.237112,0.376890,1.127803,431.624428,[0 1 0.5714]
subject-21096790,2,7.249710,-9.048904,35.641672,0.000000,2.454712,35.641672,52.691368,0,0,0,108.405233,1314.000000,104.013681,8.581147,0.365475,1.044050,85.354264,[0.2857 1 0]
subject-21096790,3,9.987354,-22.972405,60.815186,0.000000,0.491273,60.815186,74.895476,0,0,0,36.076691,356.000000,37.665704,3.817006,0.270670,1.104771,94.717848,[1 0.8571 0]
subject-21096790,4,6.868030,-13.411838,56.834057,0.000000,0.359289,56.834057,61.917871,0,0,0,21.917819,159.000000,13.982929,1.927518,0.311608,1.097885,88.615303,[0 0.5714 1]
subject-21096790,5,9.448485,25.917815,94.931450,0.000000,0.211113,85.675176,94.931450,0,0,0,21.177457,171.000000,17.431008,2.158739,0.229072,1.204143,129.853173,[1 0 0]
subject-21096790,6,7.046434,21.169078,86.242589,0.000000,0.162449,80.984300,86.242589,0,0,0,14.561004,225.000000,115.127431,7.450538,0.243830,1.259153,91.519543,[0.2857 0 1]
