gxyName,alenRank,math_initial_theta,pitch_angle,math_initial_radius,relative_theta_start,relative_theta_end,r_start,r_end,used2rev,failed2rev,hasUndefinedEndpoints,arc_length,num_pixels,err_per_len,err_per_pixel,mean_intensity,brt_ratio_score,anovaF_score,clusOutputColor
subject-20902077,1,4.198860,-18.212489,37.695363,0.000000,3.056990,37.695363,103.065288,0,0,0,209.155660,3530.000000,544.594699,32.267723,0.587472,1.176843,901.970286,[0 0.1176 1]
subject-20902077,2,10.110986,21.563993,128.994595,0.000000,1.027360,85.949198,128.994595,0,0,0,117.117530,2091.000000,705.918852,39.538724,0.373338,1.233969,1195.075742,[0 1 0.1176]
subject-20902077,3,2.775748,12.472409,32.056213,0.000000,3.901956,13.523369,32.056213,0,0,0,85.812337,990.000000,267.098754,23.151887,0.799984,1.038623,47.728096,[0 0.8235 1]
subject-20902077,4,7.205700,-12.022104,42.438555,0.000000,1.637567,42.438555,60.147103,0,0,0,85.019111,1353.000000,592.848188,37.253086,0.637499,1.089172,205.761603,[0 1 0.4706]
subject-20902077,5,8.777213,45.701704,147.277432,0.000000,0.342978,103.630777,147.277432,0,0,0,60.983417,566.000000,61.787257,6.657240,0.254152,1.085802,99.496499,[1 0.3529 0]
subject-20902077,6,11.259893,-10.780925,91.480165,0.000000,0.590009,91.480165,102.357218,0,0,0,58.149179,478.000000,36.530059,4.443918,0.335700,1.035724,20.498679,[0 0.4706 1]
subject-20902077,7,9.664731,-27.141239,76.046464,0.000000,0.559335,76.046464,101.299218,0,0,0,55.356324,793.000000,238.022112,16.615421,0.428383,1.108095,276.926308,[0.9412 1 0]
subject-20902077,8,6.868030,-2.145538,129.969484,0.000000,0.421890,129.969484,132.040075,0,0,0,55.307272,338.000000,10.213401,1.671229,0.291241,1.006869,0.905333,[0.5882 0 1]
subject-20902077,9,7.768866,-27.163822,98.972800,0.000000,0.406038,98.972800,121.899389,0,0,0,50.218555,406.000000,26.202012,3.240954,0.307255,1.055231,47.282297,[0 1 0.8235]
subject-20902077,10,8.444008,-22.073857,152.041226,0.000000,0.279646,152.041226,170.298990,0,0,0,48.583536,543.000000,49.368320,4.417104,0.245938,1.201683,538.986920,[1 0.7059 0]
subject-20902077,11,9.483445,-7.259041,62.962287,0.000000,0.641562,62.962287,68.323639,0,0,0,42.430690,543.000000,196.861491,15.383000,0.507239,1.036213,86.438074,[0.5882 1 0]
subject-20902077,12,7.072664,38.644957,170.830416,0.000000,0.201309,145.432206,170.830416,0,0,0,40.670152,341.000000,48.076931,5.734006,0.253390,1.096449,48.794396,[1 0 0.7059]
subject-20902077,13,11.984773,-58.486054,77.429801,0.000000,0.213926,77.429801,109.757880,0,0,0,37.920924,414.000000,223.577191,20.478873,0.372892,1.073843,15.324521,[0.2353 0 1]
subject-20902077,14,9.370283,-18.681908,117.515876,0.000000,0.236354,117.515876,127.293030,0,0,0,30.523668,208.000000,19.205648,2.818398,0.286009,1.090254,82.749850,[1 0 0]
subject-20902077,15,11.662725,24.665263,159.817345,0.000000,0.147382,149.358852,159.817345,0,0,0,25.061315,173.000000,11.300365,1.637006,0.221928,1.152552,116.184908,[0.9412 0 1]
subject-20902077,16,11.781637,-20.915875,159.221219,0.000000,0.095753,159.221219,165.155854,0,0,0,16.623775,224.000000,91.385120,6.781990,0.225193,1.282562,257.993409,[1 0 0.3529]
subject-20902077,17,8.276962,21.906762,100.352244,0.000000,0.137100,94.969307,100.352244,0,0,0,14.427706,307.000000,510.617480,23.996869,0.334792,1.049523,16.650639,[0.2353 1 0]
