,subject_id,arm_index,best_model,log_spiral_mean_score,poly_spiral_1_mean_score,poly_spiral_2_mean_score,poly_spiral_3_mean_score,poly_spiral_4_mean_score,poly_spiral_5_mean_score,poly_spiral_6_mean_score,poly_spiral_7_mean_score,poly_spiral_8_mean_score
0,21096909,0,poly_spiral_4,-12.416839226025727,-8.468183356665564,-7.574561560989112,-7.594624151379736,-6.359875851940342,-7.608038777163782,-7.572226479631479,-7.977727058198063,-7.984046933221057
1,21096909,1,log_spiral,0.7424413698622888,0.7147201458302773,0.7359238357430411,0.7317096814140324,0.733011843082957,0.7282419386621967,0.729336887714648,0.7286181457514593,0.7281997866480451
2,21096909,2,poly_spiral_6,0.8705149771795756,0.7693523425052804,0.8960248499777471,0.9142692341296899,0.9141872333586735,0.9156388008204754,0.9164316872031318,0.916138270087856,0.9157739449942397
3,21096909,3,log_spiral,0.6337529844516419,0.6238880566342858,0.6118279704424829,0.6122655781130795,0.6041127244433914,0.6061246274769821,0.6056788082470168,0.6001406821244415,0.5946280370945357
4,21686558,0,poly_spiral_2,0.11248839298984749,0.1349402286324267,0.2187202255591757,0.16516273085367075,0.15905305551093696,0.14931672536856064,0.1422918505507445,0.10872716618355872,0.10941377856518919
5,21686558,1,log_spiral,0.8258922945858451,0.7781721450536934,0.8239096820539401,0.8182127420684719,0.8107522830748393,0.811777558377301,0.8107911547856682,0.8078474883120607,0.8066069325889705
6,21686558,2,poly_spiral_2,0.40834665490755206,0.5381333412131094,0.6595680562491575,0.6578447215507747,0.6566800066827768,0.6570068177894278,0.6574569324273957,0.6572430494681707,0.6568881597843986
7,21686570,0,poly_spiral_6,0.5873660310536346,0.588796989820036,0.5894667823590225,0.6080871234626596,0.6093566500188553,0.628930930312246,0.6397648899831362,0.6375938241088753,0.6369572861308324
8,21686570,1,poly_spiral_8,0.5983272925276858,0.5017370823888477,0.6067471449763134,0.6542401993771592,0.6547421724154426,0.6631503310924128,0.6705781841150934,0.6668287229178149,0.6807127392666767
9,21686570,2,poly_spiral_4,0.4604232054671007,0.3626322548772323,0.5429348228623281,0.5280659386797002,0.5675511893572078,0.5667757817559529,0.5593262596493869,0.5502386562894993,0.5349788952992702
10,21097008,0,poly_spiral_2,0.041931183782240346,-0.046167833235904905,0.12896187689414976,0.0970051091147623,-0.07753474667323339,-0.05968176279918965,-0.08837667138746534,-0.12583855535545885,-0.12990205744104374
11,20902008,0,poly_spiral_7,0.7871880247444168,0.8370038578806418,0.8172834851334136,0.8502903178568028,0.849106790933817,0.8491330270272661,0.8493927367630243,0.8557775906943357,0.8551572128396849
