gxyName,alenRank,math_initial_theta,pitch_angle,math_initial_radius,relative_theta_start,relative_theta_end,r_start,r_end,used2rev,failed2rev,hasUndefinedEndpoints,arc_length,num_pixels,err_per_len,err_per_pixel,mean_intensity,brt_ratio_score,anovaF_score,clusOutputColor
subject-21096794,1,1.798054,-13.667950,16.578608,0.000000,5.164392,16.578608,58.206456,0,0,0,176.169236,2176.000000,232.468507,18.820680,0.507066,1.055876,80.124767,[1 0 0.75]
subject-21096794,2,9.327605,-3.711605,55.077298,0.000000,1.348130,55.077298,60.110918,0,0,0,77.757998,948.000000,192.063558,15.753669,0.399652,1.100344,258.702651,[0.5 1 0]
subject-21096794,3,8.590019,-22.280609,83.487393,0.000000,0.721137,83.487393,112.187364,0,0,0,75.696955,398.000000,12.161291,2.312997,0.270059,1.086024,72.445470,[1 0 0]
subject-21096794,4,7.863152,6.377879,74.415177,0.000000,0.779586,68.205153,74.415177,0,0,0,55.903236,593.000000,49.874556,4.701769,0.342348,1.072890,188.853853,[0 1 0.25]
subject-21096794,5,7.153121,-21.416507,72.050167,0.000000,0.580670,72.050167,90.478989,0,0,0,50.469872,417.000000,25.184870,3.048147,0.325309,1.055486,89.799135,[0.5 0 1]
subject-21096794,6,10.384608,-19.574950,10.406271,0.000000,1.987657,10.406271,21.098511,0,0,0,31.913358,318.000000,97.854937,9.820376,0.692517,1.032425,8.232781,[0 1 1]
subject-21096794,7,11.356952,-41.427807,66.815030,0.000000,0.271171,66.815030,84.879424,0,0,0,27.300974,192.000000,22.143906,3.148699,0.304928,1.052124,30.162425,[0 0.25 1]
subject-21096794,8,8.663628,-30.361431,36.168928,0.000000,0.435628,36.168928,46.683366,0,0,0,20.802007,244.000000,155.485486,13.255779,0.466049,1.065323,64.216644,[1 0.75 0]
