gxyName,alenRank,math_initial_theta,pitch_angle,math_initial_radius,relative_theta_start,relative_theta_end,r_start,r_end,used2rev,failed2rev,hasUndefinedEndpoints,arc_length,num_pixels,err_per_len,err_per_pixel,mean_intensity,brt_ratio_score,anovaF_score,clusOutputColor
subject-21096878,1,3.690304,-16.132062,42.216847,0.000000,3.222607,42.216847,107.225162,0,0,0,233.967203,4394.000000,975.749127,51.955688,0.442699,1.238138,1308.597360,[0.6667 0 1]
subject-21096878,2,6.255323,-18.503079,38.347738,0.000000,2.605284,38.347738,91.704096,0,0,0,168.127971,2345.000000,214.438433,15.374456,0.465059,1.171986,307.442393,[0 1 0.6667]
subject-21096878,3,7.692730,-17.580404,35.356206,0.000000,1.901027,35.356206,64.573211,0,0,0,96.730998,1493.000000,202.684678,13.131876,0.512165,1.152111,670.328592,[1 0 0]
subject-21096878,4,10.919102,-43.129849,61.615672,0.000000,0.731122,61.615672,122.217542,0,0,0,88.644056,1346.000000,325.403571,21.430232,0.382638,1.344320,571.332287,[0 0.6667 1]
subject-21096878,5,9.969654,-23.374415,67.111860,0.000000,0.704666,67.111860,91.005815,0,0,0,60.226027,817.000000,132.288031,9.751753,0.372099,1.205418,396.852010,[1 0.6667 0]
subject-21096878,6,7.248532,-4.491775,70.072687,0.000000,0.355731,70.072687,72.058505,0,0,0,25.356485,298.000000,119.839963,10.197048,0.439443,1.105183,105.634579,[0 1 0]
subject-21096878,7,11.441299,-14.728607,22.711721,0.000000,0.828475,22.711721,28.238029,0,0,0,21.736509,255.000000,259.542909,22.123752,0.617348,0.995603,0.217957,[0.6667 1 0]
subject-21096878,8,6.012852,0.475322,70.221491,0.000000,0.295828,70.049363,70.221491,0,0,0,20.748758,210.000000,57.653845,5.696408,0.414131,1.108824,235.654009,[0 0 1]
