gxyName,alenRank,math_initial_theta,pitch_angle,math_initial_radius,relative_theta_start,relative_theta_end,r_start,r_end,used2rev,failed2rev,hasUndefinedEndpoints,arc_length,num_pixels,err_per_len,err_per_pixel,mean_intensity,brt_ratio_score,anovaF_score,clusOutputColor
subject-20902011,1,8.805543,16.077822,88.139641,0.000000,3.084622,36.229915,88.139641,0,0,0,187.438476,2664.000000,225.977618,15.899737,0.463745,1.155151,664.669931,[1 0 0]
subject-20902011,2,7.354043,8.247053,74.919991,0.000000,1.577659,59.605863,74.919991,0,0,0,106.762027,1698.000000,264.821160,16.650674,0.446376,1.110416,435.278069,[1 1 0]
subject-20902011,3,5.403099,21.693638,87.924244,0.000000,1.312034,52.170785,87.924244,0,0,0,96.724144,1263.000000,228.655740,17.511109,0.422531,1.116373,249.311026,[1 0 1]
subject-20902011,4,6.681055,39.866741,90.374667,0.000000,1.251754,31.771483,90.374667,0,0,0,91.424025,1488.000000,455.155804,27.965172,0.455725,1.111617,225.779874,[0 0 1]
subject-20902011,5,10.521559,-7.168000,64.882402,0.000000,1.078968,64.882402,74.311786,0,0,0,75.568612,1036.000000,184.298358,13.443215,0.436244,1.222783,739.508639,[0 1 0]
subject-20902011,6,6.054927,-7.690808,37.266402,0.000000,0.348138,37.266402,39.060254,0,0,0,13.404242,157.000000,110.567879,9.439991,0.532100,0.981203,5.653744,[0 1 1]
