,objID,z,Sp,Scale,Vmax,gg2d,e_gg2d,rg2d,e_rg2d,gg2df,rg2df,dCol,__B_T_g,e__B_T_g,__B_T_r,e__B_T_r,__B_T_gf,__B_T_rf,Rhlg,Rhlr,Rchl_g,Rchl_r,Re,e_Re,e,e_e,phib,e_phib,Rd,e_Rd,i,e_i,phid,e_phid,__dx_g,e__dx_g,__dy_g,e__dy_g,__dx_r,e__dx_r,__dy_r,e__dy_r,S2g,S2r,ggMag,e_ggMag,gbMag,e_gbMag,gdMag,e_gdMag,rgMag,e_rgMag,rbMag,e_rbMag,rdMag,e_rdMag,nb,e_nb,PpS,Pn4,All,Sloan
20901989,587741421632356667,0.05220000073313713,2,1.0169999599456787,118.08000000000001,16.190000534057617,0.009999999776482582,15.5600004196167,0.009999999776482582,18.190000534057617,17.34000015258789,0.029999999329447746,0.3499999940395355,0.009999999776482582,0.4699999988079071,0.009999999776482582,0.699999988079071,0.800000011920929,4.829999923706055,4.369999885559082,3.890000104904175,3.380000114440918,2.880000114440918,0.029999999329447746,0.699999988079071,0.0,176.0,1.0,3.740000009536743,0.029999999329447746,43.0,0.0,171.0,1.0,0.5799999833106995,0.0,0.07999999821186066,0.009999999776482582,0.30000001192092896,0.009999999776482582,0.20999999344348907,0.019999999552965164,0.11999999731779099,0.07000000029802322,-20.8700008392334,0.009999999776482582,-19.729999542236328,0.03999999910593033,-20.389999389648438,0.019999999552965164,-21.420000076293945,0.009999999776482582,-20.610000610351562,0.029999999329447746,-20.719999313354492,0.029999999329447746,1.340000033378601,0.05999999865889549,0.0,All,Sloan,DR7
20901990,588007005234266362,0.03999999910593033,2,0.7910000085830688,116.13500000000002,15.75,0.019999999552965164,15.1899995803833,0.009999999776482582,19.760000228881836,19.049999237060547,-0.029999999329447746,0.9599999785423279,0.03999999910593033,0.6200000047683716,0.07000000029802322,0.949999988079071,0.5600000023841858,6.849999904632568,7.150000095367432,6.320000171661377,6.460000038146973,6.739999771118164,0.17000000178813934,0.15000000596046448,0.03999999910593033,123.0,0.0,4.699999809265137,0.05000000074505806,44.0,5.0,131.0,0.0,1.3799999952316284,0.009999999776482582,-1.2999999523162842,0.07000000029802322,0.8600000143051147,0.07999999821186066,-0.30000001192092896,0.09000000357627869,0.20000000298023224,0.18000000715255737,-20.729999542236328,0.019999999552965164,-20.690000534057617,0.05000000074505806,-17.209999084472656,1.2000000476837158,-21.229999542236328,0.009999999776482582,-20.709999084472656,0.12999999523162842,-20.18000030517578,0.20999999344348907,0.5899999737739563,0.019999999552965164,0.5400000214576721,All,Sloan,DR7
20901991,587739097518047289,0.04439999908208847,2,0.8740000128746033,58.32300000000001,16.829999923706055,0.019999999552965164,16.06999969482422,0.019999999552965164,18.860000610351562,17.989999771118164,-0.029999999329447746,0.18000000715255737,0.009999999776482582,0.23999999463558197,0.009999999776482582,0.4699999988079071,0.550000011920929,5.579999923706055,5.269999980926514,3.680000066757202,3.509999990463257,1.340000033378601,0.019999999552965164,0.10000000149011612,0.07999999821186066,86.0,3.0,3.869999885559082,0.07000000029802322,72.0,0.0,115.0,1.0,0.5099999904632568,0.029999999329447746,0.23999999463558197,0.019999999552965164,0.28999999165534973,0.019999999552965164,0.47999998927116394,0.019999999552965164,,,-19.770000457763672,0.019999999552965164,-17.920000076293945,0.07000000029802322,-19.549999237060547,0.019999999552965164,-20.510000228881836,0.019999999552965164,-18.940000534057617,0.03999999910593033,-20.219999313354492,0.019999999552965164,4.03000020980835,0.18000000715255737,0.12999999523162842,All,Sloan,DR7
20901992,587745538906652834,0.02019999921321869,2,0.4090000092983246,13.486,15.569999694824219,0.0,15.149999618530273,0.0,18.34000015258789,17.889999389648438,-0.03999999910593033,0.699999988079071,0.009999999776482582,0.800000011920929,0.019999999552965164,0.800000011920929,0.8700000047683716,4.0,4.170000076293945,3.1500000953674316,3.240000009536743,4.619999885559082,0.019999999552965164,0.47999998927116394,0.009999999776482582,110.0,0.0,1.9700000286102295,0.019999999552965164,49.0,0.0,116.0,0.0,0.4000000059604645,0.0,0.17000000178813934,0.0,0.6499999761581421,0.019999999552965164,0.5099999904632568,0.019999999552965164,0.11999999731779099,0.10000000149011612,-19.270000457763672,0.0,-18.8799991607666,0.009999999776482582,-17.959999084472656,0.019999999552965164,-19.610000610351562,0.0,-19.3700008392334,0.019999999552965164,-17.8799991607666,0.09000000357627869,3.0899999141693115,0.05000000074505806,0.4300000071525574,All,Sloan,DR7
20901993,587729773143851215,0.0203000009059906,2,0.41100001335144043,18.481,15.5600004196167,0.0,15.0600004196167,0.0,19.18000030517578,18.59000015258789,-0.029999999329447746,0.7799999713897705,0.0,0.9900000095367432,0.009999999776482582,0.8299999833106995,0.9900000095367432,3.950000047683716,3.7300000190734863,3.359999895095825,3.200000047683716,3.700000047683716,0.0,0.2800000011920929,0.0,95.0,0.0,2.940000057220459,0.0,49.0,0.0,76.0,0.0,0.6600000262260437,0.0,0.11999999731779099,0.0,0.20999999344348907,0.019999999552965164,0.17000000178813934,0.019999999552965164,0.1599999964237213,0.11999999731779099,-19.31999969482422,0.0,-19.049999237060547,0.0,-17.700000762939453,0.009999999776482582,-19.760000228881836,0.0,-19.75,0.009999999776482582,-14.640000343322754,1.6299999952316284,0.9700000286102295,0.009999999776482582,0.4699999988079071,All,Sloan,DR7
20901994,587735042545221729,0.019999999552965164,2,0.4050000011920929,21.525000000000002,15.25,0.0,14.880000114440918,0.0,17.290000915527344,16.93000030517578,0.07000000029802322,0.9300000071525574,0.0,0.8500000238418579,0.009999999776482582,0.9800000190734863,0.9599999785423279,2.359999895095825,2.5199999809265137,2.0199999809265137,2.130000114440918,2.2100000381469727,0.0,0.2800000011920929,0.009999999776482582,13.0,0.0,2.4600000381469727,0.0,54.0,0.0,-57.0,0.0,0.3199999928474426,0.0,0.10999999940395355,0.0,0.3499999940395355,0.009999999776482582,0.27000001072883606,0.009999999776482582,0.11999999731779099,0.10999999940395355,-19.530000686645508,0.0,-19.450000762939453,0.0,-16.690000534057617,0.05999999865889549,-19.850000381469727,0.0,-19.68000030517578,0.009999999776482582,-17.770000457763672,0.05999999865889549,3.359999895095825,0.03999999910593033,0.5,All,Sloan,DR7
20901995,588017725470539956,0.02019999921321869,2,0.4090000092983246,8.335,15.869999885559082,0.0,15.470000267028809,0.0,19.770000457763672,19.18000030517578,0.029999999329447746,1.0,0.0,0.8299999833106995,0.019999999552965164,1.0,0.7300000190734863,4.960000038146973,4.559999942779541,4.139999866485596,3.8399999141693115,4.949999809265137,0.009999999776482582,0.33000001311302185,0.009999999776482582,187.0,0.0,1.840000033378601,0.009999999776482582,40.0,0.0,178.0,0.0,0.800000011920929,0.0,1.4199999570846558,0.009999999776482582,0.6399999856948853,0.05000000074505806,0.6299999952316284,0.07000000029802322,0.14000000059604645,0.10000000149011612,-18.940000534057617,0.0,-18.940000534057617,0.0,-11.4399995803833,2.7100000381469727,-19.270000457763672,0.0,-19.06999969482422,0.019999999552965164,-17.329999923706055,0.10000000149011612,1.1100000143051147,0.019999999552965164,0.5199999809265137,All,Sloan,DR7
20901996,587733605337464961,0.020099999383091927,2,0.4059999883174896,10.577000000000002,15.729999542236328,0.0,15.289999961853027,0.009999999776482582,19.5,18.860000610351562,0.07999999821186066,0.05999999865889549,0.009999999776482582,0.09000000357627869,0.009999999776482582,0.3100000023841858,0.4300000071525574,4.96999979019165,4.869999885559082,4.190000057220459,4.099999904632568,2.109999895095825,0.03999999910593033,0.5799999833106995,0.03999999910593033,190.0,1.0,3.059999942779541,0.029999999329447746,46.0,0.0,136.0,0.0,0.949999988079071,0.009999999776482582,0.05000000074505806,0.009999999776482582,0.5299999713897705,0.03999999910593033,0.5,0.03999999910593033,0.10000000149011612,0.07999999821186066,-19.049999237060547,0.0,-15.899999618530273,0.12999999523162842,-18.989999771118164,0.009999999776482582,-19.420000076293945,0.009999999776482582,-16.75,0.07000000029802322,-19.329999923706055,0.009999999776482582,2.0,0.18000000715255737,0.07000000029802322,All,Sloan,DR7
20901997,588017705074491482,0.02019999921321869,2,0.4099999964237213,26.374000000000002,15.199999809265137,0.0,14.789999961853027,0.0,19.049999237060547,18.309999465942383,0.14000000059604645,0.019999999552965164,0.0,0.07999999821186066,0.009999999776482582,0.10000000149011612,0.36000001430511475,4.050000190734863,3.930000066757202,3.880000114440918,3.75,1.8200000524520874,0.019999999552965164,0.3199999928474426,0.07999999821186066,-7.0,0.0,2.440000057220459,0.009999999776482582,23.0,0.0,16.0,0.0,0.8600000143051147,0.009999999776482582,1.2699999809265137,0.019999999552965164,0.28999999165534973,0.05000000074505806,0.6399999856948853,0.03999999910593033,0.11999999731779099,0.07000000029802322,-19.65999984741211,0.0,-15.289999961853027,0.20999999344348907,-19.639999389648438,0.0,-19.969999313354492,0.0,-17.18000030517578,0.10000000149011612,-19.8799991607666,0.009999999776482582,2.9000000953674316,0.7699999809265137,0.27000001072883606,All,Sloan,DR7
20901998,587726033321721925,0.0203000009059906,2,0.41200000047683716,26.121000000000002,15.020000457763672,0.0,14.600000381469727,0.009999999776482582,18.959999084472656,18.290000915527344,0.09000000357627869,0.05000000074505806,0.009999999776482582,0.09000000357627869,0.009999999776482582,0.30000001192092896,0.4699999988079071,4.980000019073486,4.940000057220459,4.739999771118164,4.690000057220459,3.4600000381469727,0.009999999776482582,0.27000001072883606,0.10000000149011612,96.0,0.0,2.9800000190734863,0.009999999776482582,24.0,0.0,88.0,0.0,-0.009999999776482582,0.019999999552965164,0.07999999821186066,0.029999999329447746,0.3100000023841858,0.03999999910593033,0.41999998688697815,0.029999999329447746,0.11999999731779099,0.07000000029802322,-19.84000015258789,0.0,-16.59000015258789,0.11999999731779099,-19.790000915527344,0.009999999776482582,-20.15999984741211,0.009999999776482582,-17.59000015258789,0.09000000357627869,-20.049999237060547,0.009999999776482582,6.369999885559082,0.4699999988079071,0.009999999776482582,All,Sloan,DR7
