,objID,z,Sp,Scale,Vmax,gg2d,e_gg2d,rg2d,e_rg2d,gg2df,rg2df,dCol,__B_T_g,e__B_T_g,__B_T_r,e__B_T_r,__B_T_gf,__B_T_rf,Rhlg,Rhlr,Rchl_g,Rchl_r,Re,e_Re,e,e_e,phib,e_phib,Rd,e_Rd,i,e_i,phid,e_phid,__dx_g,e__dx_g,__dy_g,e__dy_g,__dx_r,e__dx_r,__dy_r,e__dy_r,S2g,S2r,ggMag,e_ggMag,gbMag,e_gbMag,gdMag,e_gdMag,rgMag,e_rgMag,rbMag,e_rbMag,rdMag,e_rdMag,nb,e_nb,PpS,Pn4,All,Sloan,DR7,_RA,_DE
20901989,587741421632356667,0.05220000073313713,2,1.0169999599456787,118.08000000000001,16.15999984741211,0.009999999776482582,15.479999542236328,0.009999999776482582,18.15999984741211,17.299999237060547,0.03999999910593033,0.38999998569488525,0.009999999776482582,0.550000011920929,0.009999999776482582,0.6100000143051147,0.75,5.199999809265137,5.079999923706055,4.0,3.7899999618530273,4.590000152587891,0.03999999910593033,0.699999988079071,0.0,176.0,0.0,3.2300000190734863,0.019999999552965164,51.0,0.0,169.0,0.0,0.5899999737739563,0.019999999552965164,0.07999999821186066,0.019999999552965164,0.28999999165534973,0.009999999776482582,0.20000000298023224,0.019999999552965164,0.1599999964237213,0.10999999940395355,-20.889999389648438,0.009999999776482582,-19.8799991607666,0.019999999552965164,-20.350000381469727,0.019999999552965164,-21.5,0.009999999776482582,-20.84000015258789,0.019999999552965164,-20.6299991607666,0.019999999552965164,4.0,0.0,0.1599999964237213,,All,Sloan,DR7,118.68481305555554,14.607033055555554
20901990,588007005234266362,0.03999999910593033,2,0.7910000085830688,116.13500000000002,15.569999694824219,0.0,15.050000190734863,0.0,19.5,18.780000686645508,-0.009999999776482582,0.0,0.0,0.019999999552965164,0.009999999776482582,0.0,0.12999999523162842,8.130000114440918,8.0600004196167,7.340000152587891,7.269999980926514,3.0299999713897705,0.019999999552965164,0.27000001072883606,0.3199999928474426,119.0,0.0,4.840000152587891,0.019999999552965164,36.0,0.0,116.0,0.0,1.0199999809265137,0.0,-0.6000000238418579,0.009999999776482582,0.800000011920929,0.029999999329447746,-0.12999999523162842,0.03999999910593033,0.20999999344348907,0.17000000178813934,-20.899999618530273,0.0,,,-20.899999618530273,0.0,-21.3799991607666,0.0,-17.1299991607666,0.27000001072883606,-21.360000610351562,0.009999999776482582,4.0,0.0,0.5699999928474426,,All,Sloan,DR7,123.42094694444442,45.99374305555555
20901991,587739097518047289,0.04439999908208847,2,0.8740000128746033,58.32300000000001,16.809999465942383,0.009999999776482582,16.049999237060547,0.019999999552965164,18.860000610351562,17.979999542236328,-0.029999999329447746,0.1899999976158142,0.009999999776482582,0.25,0.009999999776482582,0.49000000953674316,0.5799999833106995,5.679999828338623,5.349999904632568,3.7799999713897705,3.5899999141693115,1.559999942779541,0.03999999910593033,0.23999999463558197,0.07000000029802322,113.0,2.0,3.940000057220459,0.05000000074505806,71.0,1.0,115.0,1.0,0.5,0.009999999776482582,0.25999999046325684,0.009999999776482582,0.30000001192092896,0.019999999552965164,0.47999998927116394,0.009999999776482582,,,-19.799999237060547,0.009999999776482582,-18.010000228881836,0.05000000074505806,-19.559999465942383,0.019999999552965164,-20.530000686645508,0.019999999552965164,-19.049999237060547,0.05000000074505806,-20.209999084472656,0.019999999552965164,4.0,0.0,0.12999999523162842,,All,Sloan,DR7,161.50145194444443,34.96714305555555
20901992,587745538906652834,0.02019999921321869,2,0.4090000092983246,13.486,15.729999542236328,0.009999999776482582,15.34000015258789,0.009999999776482582,18.34000015258789,17.860000610351562,-0.009999999776482582,0.25,0.009999999776482582,0.30000001192092896,0.009999999776482582,0.6100000143051147,0.6700000166893005,3.3299999237060547,3.259999990463257,2.630000114440918,2.569999933242798,2.0,0.0,0.5299999713897705,0.019999999552965164,109.0,0.0,2.1700000762939453,0.019999999552965164,52.0,0.0,112.0,1.0,0.3100000023841858,0.019999999552965164,0.23999999463558197,0.0,0.6299999952316284,0.019999999552965164,0.5299999713897705,0.019999999552965164,0.12999999523162842,0.10999999940395355,-19.110000610351562,0.009999999776482582,-17.600000381469727,0.029999999329447746,-18.799999237060547,0.019999999552965164,-19.43000030517578,0.009999999776482582,-18.1200008392334,0.029999999329447746,-19.040000915527344,0.009999999776482582,4.0,0.0,0.6700000166893005,,All,Sloan,DR7,148.69236499999997,13.374738055555554
20901993,587729773143851215,0.0203000009059906,2,0.41100001335144043,18.481,15.520000457763672,0.009999999776482582,15.020000457763672,0.009999999776482582,19.010000228881836,18.34000015258789,0.05000000074505806,0.029999999329447746,0.0,0.05999999865889549,0.009999999776482582,0.20000000298023224,0.33000001311302185,4.050000190734863,4.0,3.4600000381469727,3.4000000953674316,1.9500000476837158,0.10999999940395355,0.699999988079071,0.0,119.0,4.0,2.440000057220459,0.029999999329447746,44.0,0.0,84.0,2.0,0.5899999737739563,0.05999999865889549,0.6100000143051147,0.029999999329447746,0.23000000417232513,0.03999999910593033,0.20999999344348907,0.029999999329447746,0.14000000059604645,0.09000000357627869,-19.360000610351562,0.009999999776482582,-15.6899995803833,0.14000000059604645,-19.329999923706055,0.009999999776482582,-19.799999237060547,0.009999999776482582,-16.809999465942383,0.09000000357627869,-19.729999542236328,0.009999999776482582,4.0,0.0,0.05000000074505806,,All,Sloan,DR7,203.03939305555554,-2.749251944444444
20901994,587735042545221729,0.019999999552965164,2,0.4050000011920929,21.525000000000002,15.260000228881836,0.0,14.880000114440918,0.0,17.239999771118164,16.899999618530273,0.05000000074505806,0.7699999809265137,0.009999999776482582,0.6800000071525574,0.009999999776482582,0.9399999976158142,0.9200000166893005,2.369999885559082,2.559999942779541,2.0299999713897705,2.190000057220459,1.8899999856948853,0.0,0.28999999165534973,0.009999999776482582,2.0,0.0,2.180000066757202,0.009999999776482582,43.0,0.0,49.0,0.0,0.3100000023841858,0.0,0.12999999523162842,0.0,0.3400000035762787,0.009999999776482582,0.27000001072883606,0.009999999776482582,0.11999999731779099,0.10999999940395355,-19.520000457763672,0.0,-19.229999542236328,0.009999999776482582,-17.950000762939453,0.03999999910593033,-19.850000381469727,0.0,-19.43000030517578,0.019999999552965164,-18.6299991607666,0.029999999329447746,4.0,0.0,0.5600000023841858,,All,Sloan,DR7,144.84328694444443,36.57458305555555
20901995,588017725470539956,0.02019999921321869,2,0.4090000092983246,8.335,15.930000305175781,0.009999999776482582,15.470000267028809,0.0,19.670000076293945,19.06999969482422,0.03999999910593033,0.009999999776482582,0.0,0.029999999329447746,0.0,0.11999999731779099,0.23000000417232513,4.599999904632568,4.559999942779541,3.9000000953674316,3.859999895095825,1.690000057220459,0.019999999552965164,0.6700000166893005,0.05999999865889549,193.0,1.0,2.759999990463257,0.009999999776482582,46.0,0.0,188.0,1.0,0.6200000047683716,0.009999999776482582,0.9100000262260437,0.019999999552965164,0.6100000143051147,0.029999999329447746,0.5400000214576721,0.07000000029802322,0.11999999731779099,0.09000000357627869,-18.8799991607666,0.009999999776482582,-14.239999771118164,0.27000001072883606,-18.860000610351562,0.009999999776482582,-19.270000457763672,0.0,-15.460000038146973,0.14000000059604645,-19.239999771118164,0.0,4.0,0.0,0.33000001311302185,,All,Sloan,DR7,176.5432411111111,7.5173661111111105
20901996,587733605337464961,0.020099999383091927,2,0.4059999883174896,10.577000000000002,15.770000457763672,0.0,15.329999923706055,0.009999999776482582,19.469999313354492,18.8700008392334,0.05000000074505806,0.019999999552965164,0.0,0.029999999329447746,0.0,0.1899999976158142,0.30000001192092896,4.489999771118164,4.429999828338623,3.890000104904175,3.8499999046325684,0.7099999785423279,0.029999999329447746,0.0,0.009999999776482582,144.0,2.0,2.700000047683716,0.019999999552965164,42.0,0.0,143.0,0.0,0.5899999737739563,0.019999999552965164,0.20000000298023224,0.019999999552965164,0.550000011920929,0.03999999910593033,0.44999998807907104,0.05000000074505806,0.10999999940395355,0.09000000357627869,-19.010000228881836,0.0,-14.59000015258789,0.1599999964237213,-18.989999771118164,0.009999999776482582,-19.3799991607666,0.009999999776482582,-15.579999923706055,0.09000000357627869,-19.350000381469727,0.009999999776482582,4.0,0.0,0.1599999964237213,,All,Sloan,DR7,239.46473499999996,46.30678111111111
20901997,588017705074491482,0.02019999921321869,2,0.4099999964237213,26.374000000000002,15.199999809265137,0.0,14.770000457763672,0.009999999776482582,18.93000030517578,18.299999237060547,0.029999999329447746,0.03999999910593033,0.0,0.09000000357627869,0.009999999776482582,0.18000000715255737,0.3700000047683716,4.010000228881836,3.9600000381469727,3.890000104904175,3.819999933242798,2.6600000858306885,0.029999999329447746,0.38999998569488525,0.07000000029802322,-12.0,1.0,2.4100000858306885,0.009999999776482582,18.0,0.0,0.0,0.0,0.3499999940395355,0.03999999910593033,0.7099999785423279,0.03999999910593033,0.28999999165534973,0.03999999910593033,0.6399999856948853,0.03999999910593033,0.10000000149011612,0.07000000029802322,-19.670000076293945,0.0,-16.059999465942383,0.11999999731779099,-19.6299991607666,0.009999999776482582,-19.989999771118164,0.009999999776482582,-17.389999389648438,0.10000000149011612,-19.8799991607666,0.019999999552965164,4.0,0.0,0.25999999046325684,,All,Sloan,DR7,171.77534888888886,13.23870611111111
20901998,587726033321721925,0.0203000009059906,2,0.41200000047683716,26.121000000000002,15.020000457763672,0.009999999776482582,14.619999885559082,0.009999999776482582,18.940000534057617,18.309999465942383,0.03999999910593033,0.05999999865889549,0.009999999776482582,0.10999999940395355,0.009999999776482582,0.33000001311302185,0.49000000953674316,4.889999866485596,4.829999923706055,4.730000019073486,4.650000095367432,3.1700000762939453,0.03999999910593033,0.3499999940395355,0.05000000074505806,94.0,1.0,2.9600000381469727,0.009999999776482582,19.0,1.0,81.0,1.0,0.27000001072883606,0.03999999910593033,0.3400000035762787,0.009999999776482582,0.30000001192092896,0.03999999910593033,0.4099999964237213,0.029999999329447746,0.10999999940395355,0.07999999821186066,-19.84000015258789,0.009999999776482582,-16.81999969482422,0.09000000357627869,-19.770000457763672,0.009999999776482582,-20.139999389648438,0.009999999776482582,-17.760000228881836,0.05999999865889549,-20.020000457763672,0.009999999776482582,4.0,0.0,0.009999999776482582,,All,Sloan,DR7,178.71374305555554,2.9592538888888886
