gxyName,alenRank,math_initial_theta,pitch_angle,math_initial_radius,relative_theta_start,relative_theta_end,r_start,r_end,used2rev,failed2rev,hasUndefinedEndpoints,arc_length,num_pixels,err_per_len,err_per_pixel,mean_intensity,brt_ratio_score,anovaF_score,clusOutputColor
subject-20902083,1,5.517136,-7.201666,65.782652,0.000000,0.873385,65.782652,73.458171,0,0,0,61.226799,573.000000,31.409109,3.356159,0.249383,1.066770,141.319275,[1 0 1]
subject-20902083,2,10.608102,26.080982,70.528445,0.000000,0.919298,44.971767,70.528445,0,0,0,58.130778,881.000000,247.968951,16.361666,0.343458,1.110014,220.423107,[0 1 0]
subject-20902083,3,7.289315,15.367932,64.399381,0.000000,0.976677,49.238234,64.399381,0,0,0,57.208317,739.000000,78.072184,6.043814,0.331535,1.096946,254.607627,[0 1 1]
subject-20902083,4,5.895436,1.109558,24.365908,0.000000,1.510265,23.663513,24.365908,0,0,0,36.272796,399.000000,87.776303,7.979679,0.488325,1.021633,2.031088,[0 0 1]
subject-20902083,5,8.955635,6.604820,25.552051,0.000000,1.410020,21.703043,25.552051,0,0,0,33.463608,464.000000,175.003310,12.621212,0.492288,1.035619,4.659571,[1 1 0]
subject-20902083,6,8.596238,25.987448,76.535181,0.000000,0.410966,62.641021,76.535181,0,0,0,31.709211,190.000000,10.266460,1.713375,0.256249,1.023796,4.692333,[1 0 0]
