gxyName,alenRank,math_initial_theta,pitch_angle,math_initial_radius,relative_theta_start,relative_theta_end,r_start,r_end,used2rev,failed2rev,hasUndefinedEndpoints,arc_length,num_pixels,err_per_len,err_per_pixel,mean_intensity,brt_ratio_score,anovaF_score,clusOutputColor
subject-20902050,1,0.025071,0.000000,19.553184,0.000000,6.225444,19.553184,19.553184,0,0,1,121.727262,1385.000000,446.775574,39.266980,0.685993,1.060597,62.595927,[0.8 1 0]
subject-20902050,2,11.002033,-7.067809,49.277087,0.000000,1.200798,49.277087,57.187849,0,0,0,64.292181,706.000000,59.984875,5.462547,0.421304,1.039805,98.985164,[0 1 0.4]
subject-20902050,3,11.353316,-24.949528,133.144171,0.000000,0.212900,133.144171,147.007136,0,0,0,32.864669,179.000000,3.372752,0.619242,0.189939,1.088950,146.300849,[0 0.4 1]
subject-20902050,4,11.352371,-24.994175,127.077343,0.000000,0.211279,127.077343,140.230937,0,0,0,31.130842,167.000000,4.859612,0.905891,0.199688,1.130704,492.181975,[0.8 0 1]
subject-20902050,5,9.172231,19.708705,128.169219,0.000000,0.224333,118.272373,128.169219,0,0,0,29.346744,210.000000,12.410178,1.734278,0.238266,1.078629,251.860750,[1 0 0]
